date_imposition,numero_sanction,montant,remarque
402337941,2024-05-13,"1 000,00 $",Une demande de réexamen a été reçue le 28 mai 2024. 
402308246,2024-05-13,"5 000,00 $", 
402321357,2024-05-13,"5 000,00 $",Une demande de réexamen a été reçue le 6 juin 2024. 
402337892,2024-05-10,"5 000,00 $", 
402327701,2024-05-10,"2 500,00 $", 
402322426,2024-05-10,"2 500,00 $", 
402318096,2024-05-10,"5 000,00 $",Une demande de réexamen a été reçue le 7 juin 2024. 
402347231,2024-05-10,"5 000,00 $", 
402307715,2024-05-09,"5 000,00 $", 
402324022,2024-05-09,"2 000,00 $",Une demande de réexamen a été reçue le 7 juin 2024. 
402317473,2024-05-09,"1 000,00 $", 
402308606,2024-05-09,"10 000,00 $",Une demande de réexamen a été reçue le 14 juin 2024. 
402339732,2024-05-08,"5 000,00 $", 
402348603,2024-05-08,"5 000,00 $", 
402341119,2024-05-08,"3 500,00 $",Une demande de réexamen a été reçue le 4 juin 2024. 
402351549,2024-05-08,"3 500,00 $", 
402349693,2024-05-08,"1 000,00 $",Une demande de réexamen a été reçue le 30 mai 2024. 
402336612,2024-05-08,"1 000,00 $",Une demande de réexamen a été reçue le 28 mai 2024. 
402327856,2024-05-08,"5 000,00 $",Une demande de réexamen a été reçue le 11 juin 2024. 
402331862,2024-05-07,"5 000,00 $",Une demande de réexamen a été reçue le 16 mai 2024. 
402333029,2024-05-07,"10 000,00 $", 
402287691,2024-05-07,"10 000,00 $", 
402319647,2024-05-06,"2 000,00 $", 
402257166,2024-05-06,"10 000,00 $",Une demande de réexamen a été reçue le 22 mai 2024. 
402297735,2024-05-06,"10 000,00 $",Une demande de réexamen a été reçue le 5 juin 2024. 
402320337,2024-05-03,"10 000,00 $", 
402323477,2024-05-03,"10 000,00 $",Une demande de réexamen a été reçue le 31 mai 2024. 
402335610,2024-05-02,"5 000,00 $", 
402279818,2024-05-02,"2 500,00 $", 
402286635,2024-05-02,"2 000,00 $",Une demande de réexamen a été reçue le 29 mai 2024. 
402340699,2024-05-02,"10 000,00 $",Une demande de réexamen a été reçue le 31 mai 2024. 
402280758,2024-05-02,"1 000,00 $", 
402318027,2024-05-01,"3 500,00 $", 
402314064,2024-05-01,"3 500,00 $", 
402333531,2024-04-30,"5 000,00 $", 
402307895,2024-04-30,"5 000,00 $", 
402307860,2024-04-30,"2 500,00 $", 
402273977,2024-04-30,"2 500,00 $", 
402268811,2024-04-30,"5 000,00 $",Une demande de réexamen a été reçue le 21 mai 2024. 
402321475,2024-04-29,"5 000,00 $", 
402348201,2024-04-29,"5 000,00 $", 
402331106,2024-04-29,"5 000,00 $", 
402302090,2024-04-26,"5 000,00 $",Une demande de réexamen a été reçue le 24 mai 2024. 
402323729,2024-04-25,"1 000,00 $",Une demande de réexamen a été reçue le 24 mai 2024. 
402303872,2024-04-24,"5 000,00 $", 
402322856,2024-04-24,"10 000,00 $", 
402299517,2024-04-23,"5 000,00 $", 
402340905,2024-04-23,"5 000,00 $", 
402326579,2024-04-23,"1 000,00 $", 
402326642,2024-04-23,"5 000,00 $", 
402332533,2024-04-23,"5 000,00 $", 
402339142,2024-04-22,"5 000,00 $", 
402269643,2024-04-22,"5 000,00 $", 
402321901,2024-04-19,"1 000,00 $",Une demande de réexamen a été reçue le 3 mai 2024. 
402331463,2024-04-19,"1 500,00 $", 
402291398,2024-04-19,"5 000,00 $", 
402290580,2024-04-19,"2 500,00 $", 
402317509,2024-04-18,"1 000,00 $",Une demande de réexamen hors délai a été reçue le 10 septembre 2024.  
402261586,2024-04-17,"1 000,00 $", 
402330009,2024-04-17,"5 000,00 $", 
402317716,2024-04-17,"5 000,00 $", 
402284602,2024-04-17,"1 000,00 $",Une demande de réexamen hors délai a été reçue le 19 août 2024. 
402284437,2024-04-16,"2 500,00 $", 
402313289,2024-04-16,"5 000,00 $", 
402344566,2024-04-16,"5 000,00 $", 
402330717,2024-04-16,"2 500,00 $", 
402338850,2024-04-16,"5 000,00 $",Une demande de réexamen hors délai a été reçue le 23 septembre 2024. 
402324163,2024-04-16,"10 000,00 $",Une demande de réexamen a été reçue le 24 avril 2024. 
402281304,2024-04-16,"2 500,00 $", 
402301959,2024-04-16,"10 000,00 $", 
402310277,2024-04-16,"10 000,00 $", 
402314126,2024-04-11,"5 000,00 $",Une demande de réexamen a été reçue le 10 mai 2024. 
402318276,2024-04-11,"5 000,00 $",Une demande de réexamen a été reçue le 25 avril 2024. 
402267466,2024-04-09,"5 000,00 $", 
402217882,2024-04-09,"5 000,00 $", 
402295791,2024-04-09,"5 000,00 $", 
402321660,2024-04-05,"1 000,00 $",Une demande de réexamen a été reçue le 11 avril 2024. 
402303659,2024-04-05,"2 500,00 $", 
402333008,2024-04-05,"5 000,00 $", 
402322483,2024-04-04,"500,00 $", 
402300164,2024-04-04,"5 000,00 $", 
402317808,2024-04-04,"1 000,00 $", 
402311316,2024-04-04,"10 000,00 $", 
402314161,2024-04-03,"5 000,00 $", 
402324230,2024-03-28,"10 000,00 $", 
402328386,2024-03-28,"10 000,00 $",Une demande de réexamen a été reçue le 17 avril 2024. 
402338469,2024-03-28,"5 000,00 $", 
402287945,2024-03-28,"5 000,00 $", 
402295123,2024-03-27,"2 500,00 $", 
402285384,2024-03-27,"2 000,00 $", 
402323516,2024-03-27,"10 000,00 $", 
402294037,2024-03-27,"2 500,00 $", 
402290841,2024-03-27,"10 000,00 $", 
402334306,2024-03-27,"2 500,00 $", 
402323429,2024-03-27,"2 500,00 $",Une demande de réexamen a été reçue le 3 avril 2024. 
402273264,2024-03-27,"1 000,00 $", 
402332912,2024-03-27,"1 000,00 $", 
402303026,2024-03-27,"5 000,00 $", 
402292281,2024-03-27,"5 000,00 $", 
402298231,2024-03-27,"10 000,00 $", 
402312609,2024-03-27,"1 000,00 $", 
402316251,2024-03-27,"5 000,00 $", 
402302700,2024-03-27,"10 000,00 $", 
402321534,2024-03-26,"1 000,00 $", 
402303280,2024-03-26,"3 500,00 $",Une demande de réexamen a été reçue le 2 mai 2024. 
402332331,2024-03-26,"5 000,00 $",Une demande de réexamen a été reçue le 12 avril 2024. 
402324085,2024-03-26,"10 000,00 $", 
402299988,2024-03-26,"10 000,00 $",Une demande de réexamen a été reçue le 24 avril 2024. 
402285668,2024-03-26,"10 000,00 $",Une demande de réexamen a été reçue le 11 avril 2024. 
402261285,2024-03-25,"10 000,00 $", 
402300085,2024-03-25,"5 000,00 $",Une demande de réexamen a été reçue le 4 avril 2024. 
402330664,2024-03-25,"1 500,00 $", 
402321752,2024-03-25,"3 500,00 $", 
402274870,2024-03-25,"1 000,00 $", 
402318028,2024-03-25,"5 000,00 $", 
402338052,2024-03-22,"5 000,00 $", 
402239011,2024-03-22,"2 500,00 $", 
402303262,2024-03-22,"3 500,00 $",Une demande de réexamen a été reçue le 10 mai 2024. La décision du Bureau de réexamen a été rendue le 23 juillet 2024. La demande de réexamen hors délai ne peut être admise. La sanction administrative pécuniaire est maintenue. Une requête a été déposée au Tribunal administratif du Québec le 16 août 2024.  
402333427,2024-03-22,"1 000,00 $", 
402314493,2024-03-22,"3 500,00 $", 
402288571,2024-03-21,"5 000,00 $",Une demande de réexamen a été reçue le 11 avril 2024. 
402317864,2024-03-21,"1 000,00 $",Une demande de réexamen a été reçue le 2 avril 2024. 
402334241,2024-03-21,"5 000,00 $", 
402276221,2024-03-21,"5 000,00 $",Une demande de réexamen a été reçue le 16 avril 2024. 
402300382,2024-03-20,"1 000,00 $",Une demande de réexamen a été reçue le 12 avril 2024. 
402305805,2024-03-20,"2 500,00 $", 
402297699,2024-03-20,"2 500,00 $", 
402303946,2024-03-20,"10 000,00 $", 
402328066,2024-03-19,"5 000,00 $",Une demande de réexamen a été reçue le 18 avril 2024. 
402324775,2024-03-19,"10 000,00 $", 
402313857,2024-03-19,"5 000,00 $", 
402302372,2024-03-19,"10 000,00 $", 
402256583,2024-03-14,"1 000,00 $", 
402300638,2024-03-14,"5 000,00 $", 
402322231,2024-03-14,"2 000,00 $", 
402322144,2024-03-14,"5 000,00 $", 
402323007,2024-03-14,"1 000,00 $", 
402304249,2024-03-14,"5 000,00 $", 
402304733,2024-03-14,"2 500,00 $", 
402312313,2024-03-14,"5 000,00 $",Une demande de réexamen a été reçue le 6 avril 2024. 
402328907,2024-03-13,"3 500,00 $", 
402314363,2024-03-12,"2 500,00 $", 
402309450,2024-03-12,"5 000,00 $", 
402324982,2024-03-08,"7 500,00 $", 
402315243,2024-03-08,"3 500,00 $", 
402290913,2024-03-08,"10 000,00 $", 
402322134,2024-03-08,"5 000,00 $", 
402217367,2024-03-08,"2 500,00 $",Une demande de réexamen a été reçue le 3 avril 2024. 
402314442,2024-03-07,"3 500,00 $",Une demande de réexamen a été reçue le 17 avril 2024. La décision du Bureau de réexamen a été rendue le 10 septembre 2024. La demande de réexamen hors délai ne peut être admise. La sanction administrative pécuniaire est maintenue. 
402299259,2024-03-06,"2 000,00 $", 
402327640,2024-03-06,"5 000,00 $", 
402298824,2024-03-06,"10 000,00 $",Une demande de réexamen a été reçue le 28 mars 2024. 
402326277,2024-03-05,"5 000,00 $", 
402276242,2024-03-05,"5 000,00 $",Une demande de réexamen a été reçue le 10 avril 2024. 
402309136,2024-03-05,"1 000,00 $", 
402317583,2024-03-04,"5 000,00 $",Une demande de réexamen a été reçue le 27 mars 2024. 
402322662,2024-03-04,"5 000,00 $", 
402323637,2024-03-04,"5 000,00 $", 
402322453,2024-03-01,"3 500,00 $", 
402321220,2024-03-01,"2 000,00 $", 
402306019,2024-03-01,"7 500,00 $",Une demande de réexamen a été reçue le 26 mars 2024. 
402241697,2024-03-01,"7 500,00 $", 
402273006,2024-02-29,"2 500,00 $", 
402312240,2024-02-28,"1 000,00 $", 
402307564,2024-02-28,"5 000,00 $",Une demande de réexamen a été reçue le 29 mars 2024. 
402315364,2024-02-28,"5 000,00 $", 
402305781,2024-02-28,"5 000,00 $", 
402300372,2024-02-27,"5 000,00 $", 
402269275,2024-02-27,"3 500,00 $", 
402330764,2024-02-27,"2 500,00 $",Une demande de réexamen a été reçue le 27 mars 2024. 
402321003,2024-02-27,"1 000,00 $", 
402323652,2024-02-27,"10 000,00 $",Une demande de réexamen a été reçue le 10 mars 2024. 
402249934,2024-02-27,"1 000,00 $", 
402306883,2024-02-27,"10 000,00 $", 
402288386,2024-02-26,"3 500,00 $", 
402250443,2024-02-26,"5 000,00 $", 
402307223,2024-02-26,"750,00 $", 
402323886,2024-02-26,"2 500,00 $", 
402285209,2024-02-23,"1 500,00 $", 
402320405,2024-02-23,"5 000,00 $", 
402326424,2024-02-22,"3 500,00 $", 
402306223,2024-02-21,"5 000,00 $", 
402292814,2024-02-20,"1 000,00 $", 
402324131,2024-02-20,"1 000,00 $", 
402287729,2024-02-20,"2 000,00 $", 
402309901,2024-02-19,"2 500,00 $", 
402263430,2024-02-19,"5 000,00 $", 
402312205,2024-02-19,"5 000,00 $", 
402314470,2024-02-16,"5 000,00 $", 
402314039,2024-02-16,"5 000,00 $", 
402297589,2024-02-16,"5 000,00 $", 
402324146,2024-02-16,"5 000,00 $", 
402292784,2024-02-15,"5 000,00 $", 
402286048,2024-02-15,"5 000,00 $", 
402305770,2024-02-14,"3 500,00 $", 
402265444,2024-02-14,"3 500,00 $", 
402235086,2024-02-13,"1 000,00 $", 
402272758,2024-02-13,"2 000,00 $", 
402263294,2024-02-13,"5 000,00 $", 
402234078,2024-02-13,"5 000,00 $", 
402295516,2024-02-13,"5 000,00 $", 
402268846,2024-02-12,"2 500,00 $", 
402292714,2024-02-12,"1 000,00 $", 
402301316,2024-02-09,"3 500,00 $", 
402253773,2024-02-09,"2 500,00 $", 
402246378,2024-02-09,"1 000,00 $", 
402289507,2024-02-09,"2 500,00 $", 
402262827,2024-02-08,"5 000,00 $", 
402292286,2024-02-08,"5 000,00 $",Une demande de réexamen a été reçue le 9 mars 2024. 
402255829,2024-02-08,"2 500,00 $", 
402291031,2024-02-08,"1 000,00 $", 
402307587,2024-02-07,"3 500,00 $", 
402290988,2024-02-07,"5 000,00 $", 
402243763,2024-02-07,"1 000,00 $", 
402247884,2024-02-07,"1 000,00 $", 
402288783,2024-02-07,"5 000,00 $", 
402222010,2024-02-07,"3 500,00 $", 
402283653,2024-02-07,"1 000,00 $", 
402296832,2024-02-06,"10 000,00 $", 
402265303,2024-02-06,"5 000,00 $", 
402299436,2024-02-06,"1 000,00 $", 
402305910,2024-02-06,"7 500,00 $", 
402314637,2024-02-06,"10 000,00 $", 
402274577,2024-02-06,"3 500,00 $",Une demande de réexamen a été reçue le 3 mars 2024. 
402293979,2024-02-05,"2 500,00 $", 
402275933,2024-02-02,"5 000,00 $", 
402281341,2024-02-01,"10 000,00 $", 
402322975,2024-02-01,"2 500,00 $",Une demande de réexamen a été reçue le 1er mars 2024. 
402320293,2024-01-31,"1 000,00 $", 
402312197,2024-01-31,"5 000,00 $", 
402303749,2024-01-31,"5 000,00 $", 
402214480,2024-01-30,"5 000,00 $", 
402301976,2024-01-30,"3 500,00 $", 
402298252,2024-01-30,"5 000,00 $", 
402310801,2024-01-30,"5 000,00 $", 
402288754,2024-01-30,"5 000,00 $",Une demande de réexamen hors délai a été reçue le 20 août 2024. 
402313510,2024-01-29,"1 000,00 $", 
402283041,2024-01-26,"7 500,00 $", 
402317287,2024-01-26,"2 500,00 $", 
402285439,2024-01-26,"5 000,00 $", 
402311993,2024-01-25,"5 000,00 $", 
402300160,2024-01-25,"5 000,00 $", 
402315804,2024-01-25,"5 000,00 $", 
402298559,2024-01-25,"5 000,00 $", 
402300855,2024-01-25,"10 000,00 $", 
402298393,2024-01-25,"5 000,00 $", 
402272097,2024-01-25,"5 000,00 $", 
402288011,2024-01-24,"5 000,00 $", 
402299692,2024-01-24,"5 000,00 $", 
402213170,2024-01-24,"10 000,00 $", 
402295130,2024-01-24,"2 000,00 $", 
402297635,2024-01-24,"5 000,00 $",Une demande de réexamen a été reçue le 6 février 2024.  
402300717,2024-01-24,"5 000,00 $", 
402305995,2024-01-24,"1 000,00 $", 
402296830,2024-01-24,"1 000,00 $", 
402303846,2024-01-24,"2 500,00 $", 
402270983,2024-01-24,"1 000,00 $", 
402244511,2024-01-24,"5 000,00 $", 
402292856,2024-01-24,"5 000,00 $", 
402303869,2024-01-23,"5 000,00 $",Une demande de réexamen a été reçue le 21 février 2024. Désistement de la demande de réexamen le 30 avril 2024. La sanction administrative pécuniaire est maintenue. 
402285531,2024-01-23,"1 000,00 $", 
402298439,2024-01-23,"1 000,00 $", 
402300933,2024-01-23,"5 000,00 $", 
402263028,2024-01-23,"5 000,00 $", 
402272075,2024-01-23,"5 000,00 $", 
402311274,2024-01-23,"3 500,00 $", 
402274642,2024-01-23,"7 500,00 $", 
402264369,2024-01-22,"5 000,00 $", 
402292491,2024-01-19,"5 000,00 $", 
402290146,2024-01-18,"2 500,00 $", 
402270934,2024-01-17,"7 500,00 $", 
402238090,2024-01-17,"1 000,00 $", 
402312394,2024-01-17,"2 500,00 $", 
402270252,2024-01-17,"5 000,00 $",Une demande de réexamen a été reçue le 1er février 2024.  
402300100,2024-01-17,"2 500,00 $", 
402313607,2024-01-16,"1 000,00 $", 
402203533,2024-01-16,"1 000,00 $", 
402296348,2024-01-16,"2 500,00 $", 
402246322,2024-01-16,"5 000,00 $", 
402276232,2024-01-16,"10 000,00 $", 
402294811,2024-01-16,"5 000,00 $", 
402274290,2024-01-15,"2 500,00 $", 
402272095,2024-01-15,"5 000,00 $",La demande de réexamen a été reçue le 7 février 2024. 
402265244,2024-01-15,"2 500,00 $", 
402302784,2024-01-12,"2 500,00 $", 
402302743,2024-01-12,"2 500,00 $", 
402294956,2024-01-12,"2 500,00 $", 
402290614,2024-01-10,"5 000,00 $", 
402289025,2024-01-09,"5 000,00 $", 
402274997,2024-01-09,"1 000,00 $", 
402291132,2024-01-09,"5 000,00 $", 
402194720,2024-01-09,"1 000,00 $", 
402311368,2023-12-28,"2 500,00 $", 
402305229,2023-12-27,"5 000,00 $", 
402279839,2023-12-27,"2 500,00 $", 
402214083,2023-12-27,"5 000,00 $", 
402275241,2023-12-21,"1 000,00 $", 
402272285,2023-12-21,"1 000,00 $", 
402304246,2023-12-20,"10 000,00 $",Une demande de réexamen a été reçue 9 janvier 2024.  
402257364,2023-12-20,"5 000,00 $", 
402298031,2023-12-19,"2 500,00 $", 
402297334,2023-12-19,"1 000,00 $", 
402304374,2023-12-19,"5 000,00 $", 
402224146,2023-12-19,"5 000,00 $", 
402283612,2023-12-19,"2 500,00 $", 
402250374,2023-12-18,"5 000,00 $", 
402222312,2023-12-18,"5 000,00 $", 
402289292,2023-12-18,"5 000,00 $",Une demande de réexamen a été reçue 8 janvier 2024.  
402256920,2023-12-18,"1 000,00 $", 
402257093,2023-12-18,"5 000,00 $", 
402256903,2023-12-18,"1 000,00 $", 
402279375,2023-12-15,"2 500,00 $", 
402291982,2023-12-15,"5 000,00 $", 
402276839,2023-12-15,"2 500,00 $", 
402299433,2023-12-14,"1 000,00 $", 
402298962,2023-12-14,"2 500,00 $", 
402281665,2023-12-14,"5 000,00 $", 
402294961,2023-12-14,"3 500,00 $", 
402293440,2023-12-14,"10 000,00 $", 
402296514,2023-12-14,"5 000,00 $", 
402296065,2023-12-14,"3 500,00 $", 
402266148,2023-12-14,"2 500,00 $", 
402296467,2023-12-12,"1 000,00 $", 
402264626,2023-12-12,"5 000,00 $", 
402267046,2023-12-12,"5 000,00 $", 
402293158,2023-12-12,"10 000,00 $",Une demande de réexamen a été reçue le 11 janvier 2024.  
402299712,2023-12-12,"5 000,00 $", 
402294966,2023-12-12,"1 500,00 $", 
402287651,2023-12-12,"10 000,00 $", 
402284010,2023-12-11,"5 000,00 $", 
402295341,2023-12-11,"5 000,00 $", 
402237019,2023-12-07,"1 000,00 $", 
402266076,2023-12-07,"1 500,00 $", 
402212906,2023-12-07,"5 000,00 $", 
402295998,2023-12-07,"2 500,00 $", 
402293621,2023-12-07,"7 500,00 $", 
402282701,2023-12-07,"5 000,00 $", 
402287401,2023-12-06,"3 500,00 $", 
402264609,2023-12-06,"5 000,00 $", 
402281645,2023-12-05,"1 000,00 $", 
402298966,2023-12-05,"5 000,00 $", 
402225900,2023-12-05,"10 000,00 $", 
402296222,2023-12-05,"5 000,00 $", 
402291840,2023-12-05,"1 000,00 $",Une demande de réexamen a été reçue 3 janvier 2024.  
402288592,2023-12-05,"5 000,00 $",Une demande de réexamen a été reçue le 12 décembre 2023. 
402270012,2023-12-04,"3 500,00 $", 
402259285,2023-12-04,"1 000,00 $", 
402272686,2023-12-04,"2 500,00 $", 
402235835,2023-12-04,"5 000,00 $", 
402254010,2023-12-04,"3 500,00 $", 
402299379,2023-11-30,"5 000,00 $", 
402299406,2023-11-30,"5 000,00 $", 
402299394,2023-11-30,"5 000,00 $", 
402291206,2023-11-29,"2 000,00 $", 
402288667,2023-11-28,"5 000,00 $", 
402281357,2023-11-28,"2 500,00 $", 
402244969,2023-11-28,"10 000,00 $", 
402274112,2023-11-28,"2 000,00 $", 
402288305,2023-11-28,"5 000,00 $", 
402281804,2023-11-27,"2 500,00 $", 
402228923,2023-11-23,"2 500,00 $", 
402257923,2023-11-23,"3 500,00 $", 
402275930,2023-11-23,"1 000,00 $", 
402266770,2023-11-23,"5 000,00 $", 
402264604,2023-11-23,"1 500,00 $", 
402287472,2023-11-23,"3 500,00 $", 
402225548,2023-11-23,"5 000,00 $", 
402257033,2023-11-23,"1 000,00 $", 
402293468,2023-11-23,"5 000,00 $", 
402288779,2023-11-23,"10 000,00 $", 
402213972,2023-11-22,"5 000,00 $", 
402270823,2023-11-21,"2 500,00 $", 
402275166,2023-11-21,"2 500,00 $", 
402290830,2023-11-20,"5 000,00 $", 
402246573,2023-11-17,"10 000,00 $",Une demande de réexamen a été reçue le 12 décembre 2023. 
402266867,2023-11-17,"5 000,00 $", 
402288514,2023-11-15,"2 500,00 $", 
